number,text,style
,タイトル: 【呪術廻戦】乙骨の術式は一体なんなのか,xxxxxxxxxxxx
,URL: https://animanch.com/archives/20929287.html,xxxxxxxxxxxx
1,"本体は模倣　外付けでリカちゃん模倣した術式はリカちゃんに保存してるけど外付けの別物なので領域展開後もリカちゃんは消えないでも模倣は焼ききれるのでリカちゃんから保存術式を取り出せない(あるいは取り出しても行使できない)ってことで良いのかな？現状見えてる範囲から想像すると

",
2,ファンブックだかに術式はリカって書いてなかったっけ。里香の術式が模倣で乙骨はそれを借りてる状態なんじゃないか,
4,>>2でもそれだと領域展開後にリカちゃんが消えないのおかしくない？あくまで外付けで乙骨本来は別にある‥‥と思う,
18,>>4羂索とか他人の体を操る術式は焼き切れタイムでも普通に動けてるから、パッと見はオンだけど術式を行使する瞬間（この場合は肉体を移るとき）だけオンで平常はオフみたいなパターンもあるんでしょ宿儺が領域展開を繰り返す間も魔虚羅をキープできてたり伏黒が領域を破られた瞬間に玉犬渾で虫を襲撃してたりと、式神系は召喚のタイミングでしか術式を使わない＝領域の焼き切れに左右されづらい可能性がある,
43,>>18これ凄い納得した辻褄が合ったというかありがとう,
3,重要なピース欠けまくってる穴抜けパズルだからぶっちゃけ分からん多分そうなんだろうなって予想は出来るが全然違う可能性もある,color: #8a2be2;
5,Q.どうして呪力だけでワンオフのはずの他人の術式真似できるの？A.元になってる乙骨の呪力と術式が「摸倣」だからですっつー０との統合性合わせだと思うから模倣は乙骨の自前だと思うがな,
8,模倣で正解じゃないかなとは思う模倣条件とかはどうなんだろうね相手の一部とかはあくまでも石流の想像だし,
12,模倣術式だけで国家転覆可能な特級扱いになれるんかな。別になんか術式あったりしない？,
14,>>12まぁ模倣自体があの世界だと無法の極みではあるから‥‥ただ国家転覆となるとなぁ‥‥わざわざ定義を出したからには乙骨にも何か有るんだろうが,
16,>>14御三家とか相伝真似されたら糞キレそう術式って誇りそのものだろうし,
6,なんなら模倣もリカちゃんの力で乙骨本来の術式は全く別もあり得るからなぁリカちゃんから模倣ダウンロードしてるから領域後は焼ききれる的な,color: #ff6600;
19,まぁ乙骨の活躍は今後あるだろうからそこで分かるやろ,
22,仙台戦でも術式は模倣と書かれなかったのは、敢えて明記するの避けた感じがしたんだよな術式が本当に模倣ならあの時はっきりさせても良さそうなのに,
31,>>22あの辺りから乙骨のモノローグが無くなるのも気になる,
57,>>31そうなんだよな乙骨自身の語りでも地の文でも模倣とは書かれず、石流とウロの推測での匂わせだけ確かにあの辺りの乙骨って何考えて戦ってたかも分からないやっぱり何かありそうな気がする,
42,>>22明言したところでどんな術式持ってるかは不明&幾らでも後付けできるしねぇ,
27,本来は式神製作が術式なんじゃないかと思ってる少なくとも式神術には熟達してるみたいだし,color: #008000;
28,>>27ドルゥヴの術式使うときにも自前で用意してたしな,
23,乙骨なら里香と全然関係ない術式に里香って名付けてる可能性も否定できない,color: #333333;
24,>>23むしろ程遠い代物なら安易に名付けないと思うが,
30,コピって即座に実戦投入してんじゃねぇ！ウスラビってキメ技だろうに,color: #a52a2a;
34,時間制限が厳しすぎる縛りか何かで一時的でいいからもうちょい伸ばせないものか,
35,>>34仙台で明確に時間切れの描写が挟まれなければBLEACHオマージュで「リカのフルスペックに耐えられる体に成長したのさ（大人乙骨）」が見られたかもしれないのにそれか本来時間制限後に何かあったはずだったけど石流の攻撃力が高すぎて出す前に限界来ちゃったとか？,
36,式神が術式っぽい気もする。幼少期に無意識に発動して里香ができたことにも説明つくし、自分の術式を自覚してないことに疑問残るけど,color: #0000cd;
37,>>36自覚してる可能性もあるんじゃない？乙骨自体上層部に監視されてる可能性考慮して動いてるから極力少ない手札で戦おうとしてるし,
52,>>37そうじゃなくて乙骨が小さい頃の話、術式の自覚は小学校入学前くらいに起こるはずなのにそんな描写がない,
39,仮に模倣が乙骨自身の術式だとしたら5分制限が謎すぎるんだよな,
60,>>39外付けであるリカちゃんの状態で無制限～五分と乙骨本来の術式が変動するのは違和感あるよね,
40,羂索みたいに術式を外付けできる術式なのでは,
41,術式がコピーだとして、コピーした術式をリカなしで使う描写が一切ないのが使えなかったのか使わなかったのか分からないんだよね乙骨本体にいくつもストックすると脳がはち切れるにしても１つか２つは出来ていいというか、言ってしまえば偶然の産物であるリカと接続しなかったら運用不能とかハズレ術式過ぎる気がするんだ特級過呪怨霊なんて怪物を超えた怪物を作れたり成仏後にも何故か外付けとして運用できてるって色々謎だし、無意識化の縛りでリカなしじゃ術式使えなくなったとかそんな感じなんスかね？,
44,個人的にはリカの術式が「模倣」で乙骨本体は別にあるのだとロマンがあっていい,color: #ff6600;
45,俺も「リカ」は乙骨本来の術式が後天的に変質したもので模倣は折本里香が持っていた力だと予想してる多分元は式神創る系とか創霊呪法的な感じだったのが里香ちゃんへとの互いに強すぎる執着による縛りでバグみたいな歪み方したんじゃねえかな,
46,乙骨が宿儺の残り一本の指を野薔薇の術式コピーして共鳴りしたらダメージ与えられるのではって最近思ったんだけどどうだろ,
47,そもそも術式の模倣と模倣した術式の行使は分けて考えるべきなんじゃねえかな？,
48,「式神の力を術者本人が使う」っていうのは宿儺が穿血擬きでやったから多分乙骨の術式は式神作製かそれに近いものだと思う乙骨の術式とか完全に無関係で単純に2人の愛の呪力でバグりまくったのが過呪怨霊かつ成仏後の残りカスすら化物。の可能性もあるけど,color: #a52a2a;
50,大元は特級呪霊からちまちま吸ってた呪力だろうから式神とも呪霊とも分類できなくてリカ名義なんじゃない,
51,乙骨の術式は呪霊操術ならぬ呪霊創術って考察をどっかで見た他者を呪霊に変質させられるみたいな言葉遊び効いてて結構好き,
53,>>51ただそれだと里香を呪ったことのヤバさが薄れるから個人的にはイマイチだわわざわざ夏油と御揃っちにする必要感じねえしオリジナリティが欲しい,
56,ここでもチラホラ見受けられる式神系の能力が乙骨の術式で、里香の魂そのものを抑留することで発生したバグが術式効果にまで及んだ末に爆誕したのが特級過呪怨霊であり、指輪に残ってた成仏するまでの里香の魂の情報を基に改めて構築されたのがリカだと考えてるこの最愛の人を縛るという特別さも欠かずファンブックでの記述にもそう矛盾は感じさせないしね,
59,もし術式がコピーだった場合、領域展開が全然想像つかないというか、あの時領域展開不発したのも乙骨の本当の術式を見せないためだった可能性もあるか,color: #8a2be2;
61,>>59コピーがリカに刻まれている術式なら領域に付与された術式はまた別なモノになるだろうしねぇ仮に領域にコピーが付与されているのならコピーした術式が必中になるのか…？,
63,>>61 コピーした術式が必中…凄いカオスで凶悪な領域になるなw,
62,乙骨の術式が模倣にしても既に模倣してるはずの犬巻の片腕？を使って何かやれるみたいだから単純に模倣なのか葉疑問がある,
65,>>62これって腕の話なのかな？特別な呪言とか？,
67,>>65無下限で言う茈みたいな狗巻家の中でも一部しか知らない必殺技みたいなやつの使い方を教えてもらったのかなって思った,
64,元々式神を作成する類の生得術式だったのだが里香の魂を滞留させたことによって里香の持つ生得術式が刻まれた”リカ”を生産する術式になった…とか,color: #0000cd;
68,>>64個人的には式神系術式→「里香の魂そのもの」が組み込まれる→バグが発生して術式も捻じ曲がって特級過呪怨霊祈本里香爆誕（術式：模倣）式神術式→指輪など何かしらに残ってた「里香の魂の情報」を組み込んで形作る→バグのような縛りとかもなくなった分スケールダウンした式神・リカが誕生する（里香の情報を持ってるので術式はもちろん模倣）って感じの流れと考えてる,
73,模倣にしてはラクダワラの式神が小型リカちゃんになったりかなりアレンジされてるところも気になるコピー能力者ってそっくりそのままが多いイメージ,
xxxxxxxxxxx,ここからコメントエリア,xxxxxxxxxxxx
1,領域展開中はKING鼻毛みたいにリカちゃんが出てきてイチャイチャ始めるんだろうなぁ,
3,">>1
0であれだけ綺麗に成仏した里香ちゃんが現世に顔出すのは超絶萎えるからやめてほしい

まあこの考えだとリカちゃんが本当ただの紛い物のリカちゃん人形ってことになるからそれはそれで嫌悪感あるんだけど",
2,今の乙骨が「ぐちゃぐちゃにしてやる」って言い出したら国家転覆できそうな凄みはあると思う,
22,">>2
シンプルに反動なし呪言だけで国民虐殺できるの強いわ。電波ジャックしてテレビ放送するだけで条件クリアだし",
26,">>22
虐殺器官かよ",
4,"乙骨の術式は、術式を作る術式で
コピーはその応用

とか想像してる   めだかBOXの不知火家みたいな感じ

それなら全部説明できる(なんでもありすぎるけどね)",
7,">>4
相手の術式を見抜く六眼を持ちながらコピー以外の能力を開花させられない教師が無能節穴給料泥棒ってことになるなその説は",
8,">>7
元々戦闘以外は微妙な奴だよあいつは",
11,">>7
でも五条だしな",
24,">>7
呪詛師一歩手前みたいな状況から掬い上げたのがその貶してる相手なんですがね",
23,">>4
対象を呪う(呪霊化、呪具化)する術式かなぁって思ってる",
5,純愛だよ,
6,リカがもう大して強くないから領域に全てがかかっている,
9,">>6
コピーした術式に必中効果が付くか
または、領域内の他者全員の術式が使用可能になる

かな",
13,">>9
これまでの領域が属性みたいなのがはっきりしてるのがほとんどだから七海や東堂みたいな領域にしづらそうな術式と一緒でどんな感じにするんだろうな",
10,里香を模倣した結果がリカでいいんじゃね,
12,"完成（ジ エンド）
他者の術式を完成させて模倣する",
14,">>12
能力インフレしてる漫画だからあんま目立たないけどめだかちゃんの能力も大概よな",
15,最近領域見れるか心配になってきた,
16,">>15
やっぱ3人同時領域展開が流れたのはもったいないよな",
19,">>16
やはりGは存在してはならぬ生き物…",
25,">>16
歴史上でもだいぶ稀だと思うわ3人同時は",
21,">>15
頼むからこのまま見せずに終わりは勘弁して欲しいよな。本編で無理に見せろとは言わんけど生き残らせて後日譚とかでちゃんとお披露目の機会は設けて欲しいわ",
17,乙骨も五条が無理を通して助けたから生きていられる生徒の一人なのに現金なやつらだな,
18,"乙骨の術式って降霊呪術なんじゃね？
リカの魂を現世にとどめておきたくて覚醒
↓
既に死んだ人の魂を式神（呪霊？）化させて生前の術式を乙骨も使用可能（コピーはリカの術式）
↓
死んだ人（過去存在していた人間）の術式を使い放題なので特級認定

みたいな",
20,"式神作成がありそうかなと思った
コピーに見えてるのはコピー対象の術式を持つ式神を作ってるだけ
コピーじゃなく式神作成に付随する能力だから制限が緩い
作成だから本来は切り替えに時間がかかるけどリカと接続中はリカ経由で術式が発動するから切り替え自由
って感じで",
27,ちゃんと細かいとこまで練った上で不必要な情報を敢えて描いてない作者と違って芥見はまともに辻褄すら合わせる気なさそうだから考察するだけ無駄でしょ,
28,僕自身がリカになる事だ,
xxxxxxxxxxx,ここからメインエリアの画像,xxxxxxxxxxxx
,https://img.animanch.com/2023/12/1701677072327-600x366.jpg,
,https://img.animanch.com/2023/12/10efa3e9-600x535.jpg,
,https://img.animanch.com/2023/12/1701677204839-600x277.png,
